	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
1	-1.89234365022284	0.187533950274305	-0.159037780132442	-0.361433909000583	0.634025056030734	-1.71542371683997	0.568959983573922	-0.437454050246575	-2.58808775686157	-0.403855460164566
2	-0.159037780132442	-1.89234365022284	1.16018161904088	-3.60776736706281	-2.05138143035529	0.100802379629534	0.230169595866167	0.568959983573922	-0.361433909000583	2.25720461473228
3	1.16018161904088	-0.159037780132442	1.94337624542576	0.100802379629534	1.00114383890844	-0.263996085356504	0.205823184376995	-1.82121183448912	-3.60776736706281	-0.376365463732006
4	1.78433846529332	1.16018161904088	0.57704550633654	-0.0581729009795084	3.10355786446664	0.0148488547944612	0.624778375176431	1.20696702328543	0.100802379629534	-1.37001515240038
5	1.73722712537742	0.414323312892945	0.294500248372461	0.639627229970892	2.36138397162986	0.942712747296591	1.8343450916958	3.72833623964307	-0.0581729009795084	1.39326979427728
6	2.44605068664283	3.07232401867519	-0.685146667946754	2.77705783899239	2.03172737374988	0.19233134943247	3.69648086492763	4.19572906332566	0.639627229970892	-0.963344567857105
7	4.83322803737126	2.12233334875661	0.639627229970892	3.8888122143601	1.76090401869607	-0.341850961386588	2.67135460372077	5.72820823867751	2.77705783899239	-1.28671552012338
8	7.59518861609876	6.32357035624027	3.41668506896328	2.32950364233418	5.47285526734215	-0.162778767851864	4.53796185768846	7.20931646140924	3.8888122143601	1.21267318425887
9	1.96649476836365	1.26966740147177	7.30549728332338	4.3751830898366	1.1011873685062	2.32950364233418	9.36166748170225	1.38996293393907	2.32950364233418	0.886864551229967
10	1.49168425429954	5.1828629619278	9.63500092565757	1.16911711240364	9.27199205168703	6.70468673217078	3.43069101084039	1.27923584925426	4.3751830898366	1.26966740147177
11	1.87483326557603	7.13653474560791	1.40101840154942	1.01353777430112	1.11266851799571	5.54430020224024	1.48162922539273	1.7077866152364	1.16911711240364	5.1828629619278
12	1.66087871489623	8.22681333990748	2.57013551395306	7.02592942763297	1.01665012442897	2.18265488670476	3.29532340470047	3.76341485579208	1.01353777430112	7.13653474560791
13	2.66202917419976	9.81095123480526	3.58367328825418	5.47797829140523	1.7313618716954	8.03946720193409	9.05611732636305	2.03018789873008	7.02592942763297	8.22681333990748
